iter,theta,used_energy,surrogate_sigmaE,used_surrogate,measured_flag,shots_this_iter,cumulative_shots,fidelity_drop,pruned_this_iter,entangler_active
1,"[-0.057944654434328384, -0.009001433897269796, -0.06611827237198453, 0.12694941756646855]",-0.7149976463383605,0.2416858846784592,False,True,512,4608,0.051337999165320114,True,False
2,"[-0.056962019166459585, -0.009984069165138592, -0.06710090763985332, 0.12596678229859976]",-0.7580135947726944,0.15622628575176725,False,True,512,5120,0.032173755515996216,False,False
3,"[-0.05685571271873151, -0.009877762717410511, -0.0672072140875814, 0.12586047585087168]",-0.7082666770223751,0.09577147668548366,False,True,512,5632,0.032173755515996216,False,False
4,"[-0.057743073796772265, -0.010765123795451272, -0.06631985300954064, 0.12497311477283092]",-0.7166677884247363,0.02611870507910079,False,True,512,6144,0.032173755515996216,False,False
5,"[-0.05787192570900045, -0.010636271883223086, -0.06644870492176883, 0.1251019666850591]",-0.7130143768699179,0.03490064030415521,False,True,512,6656,0.032173755515996216,False,False
6,"[-0.05935124754767448, -0.012115593721897114, -0.06792802676044285, 0.12362264484638508]",-0.7143670178860584,0.01675774063048166,False,True,512,7168,0.032173755515996216,False,False
7,"[-0.05955093341004927, -0.01191590785952232, -0.06812771262281764, 0.12342295898401029]",-0.7156136474694476,0.01658006290195577,False,True,512,7680,0.032173755515996216,False,False
8,"[-0.0612151539318336, -0.010251687337737991, -0.06979193314460197, 0.12175873846222596]",-0.7154564243544699,0.01666699397937008,False,True,512,8192,0.032173755515996216,False,False
9,"[-0.06141382929434352, -0.010053011975228074, -0.06959325778209205, 0.12195741382473588]",-0.71501797681952,0.02110057601456093,False,True,512,8704,0.032173755515996216,False,False
10,"[-0.06148381661594712, -0.009983024653624467, -0.06952327046048844, 0.12188742650313227]",-0.7098895105767966,0.0194209160464887,False,True,512,9216,0.032173755515996216,False,False
11,"[-0.06219678347607503, -0.009270057793496557, -0.06881030360036053, 0.12117445964300436]",-0.7039974496164118,0.02444800955704484,False,True,512,9728,0.032173755515996216,False,False
12,"[-0.06344297421406378, -0.00802386705550781, -0.07005649433834928, 0.11992826890501561]",-0.7060461681133924,0.02719179578907145,False,True,512,10240,0.032173755515996216,False,False
13,"[-0.06407886645026864, -0.00865975929171267, -0.06942060210214442, 0.11929237666881075]",-0.7110411921747353,0.007338865185638593,False,True,512,10752,0.032173755515996216,False,False
14,"[-0.0642027651726376, -0.008783658014081621, -0.06954450082451337, 0.1191684779464418]",-0.714335141138694,0.007325479683407192,False,True,512,11264,0.032173755515996216,False,False
15,"[-0.0645663515113577, -0.009147244352801728, -0.06918091448579326, 0.1195320642851619]",-0.7041628712544818,0.00405546736629257,False,True,512,11776,0.032173755515996216,False,False
16,"[-0.06399127837976097, -0.009722317484398451, -0.06860584135419653, 0.11895699115356517]",-0.7120534524094299,0.010588984665190706,False,True,512,12288,0.032173755515996216,False,False
17,"[-0.06507874451758819, -0.010809783622225662, -0.06969330749202375, 0.11786952501573796]",-0.7121739728216749,0.007547385967531681,False,True,512,12800,0.032173755515996216,False,False
18,"[-0.0650685833225867, -0.010819944817227149, -0.06970346868702523, 0.11785936382073647]",-0.7184189363880034,0.005673994305227597,False,True,512,13312,0.032173755515996216,False,False
19,"[-0.06523822111649283, -0.010989582611133265, -0.06987310648093135, 0.1180290016146426]",-0.7108102916217901,0.0065846586712342775,False,True,512,13824,0.032173755515996216,False,False
20,"[-0.0651554325100808, -0.0110723712175453, -0.06979031787451932, 0.11794621300823056]",-0.6890095614063853,0.012590785205278345,False,True,512,14336,0.032173755515996216,False,False
21,"[-0.06501657519994791, -0.01121122852767818, -0.0699291751846522, 0.11780735569809768]",-0.7137641952192307,0.01489468339578592,False,True,512,14848,0.032173755515996216,False,False
22,"[-0.0651061899659051, -0.01130084329363537, -0.06983956041869502, 0.11771774093214049]",-0.7116948228729606,0.009969895143340839,False,True,512,15360,0.032173755515996216,False,False
23,"[-0.0650255698124209, -0.011220223140151172, -0.06992018057217922, 0.11763712077865629]",-0.7122148545156237,0.0060554346337217445,False,True,512,15872,0.032173755515996216,False,False
24,"[-0.06550957363466652, -0.011704226962396792, -0.07040418439442483, 0.11715311695641067]",-0.7142367358155297,0.009364347405240015,False,True,512,16384,0.032173755515996216,False,False
25,"[-0.06595002195392574, -0.012144675281656026, -0.07084463271368406, 0.1175935652756699]",-0.7171694053511568,0.007570338126819065,False,True,512,16896,0.032173755515996216,False,False
26,"[-0.06660904256650986, -0.012803695894240146, -0.07150365332626818, 0.11693454466308578]",-0.7056728416712326,0.012544986146499798,False,True,512,17408,0.032173755515996216,False,False
